user_id,name,cluster
Y-j2svl0M_5-jF1ehYuNPQ,Prides Osteria,0
t5SRIRU6INiAyVkiMJhRPA,Prides Osteria,1
1kM4jg4O-tFrmuBBnb8wdA,Prides Osteria,1
7NuAk35FPwEZ1HwVIV5vsw,Prides Osteria,1
u1Y6J-Ef4Skn8sJ1TpAoaw,Prides Osteria,1
Pf4znQEWoL7DY1mntu2VeQ,Prides Osteria,1
8DtqS0yhbIKrJJNDyKo2Ig,Prides Osteria,1
ljvgd9ksG-q3ZY9loBwS6w,Prides Osteria,1
g35OBHqo6AnJNMHSfp6IQw,Prides Osteria,1
kAaoaiYkwzddLvOm4FVj1g,Prides Osteria,0
Oc56GrSA7DhuU95WIqiG4g,Prides Osteria,0
DIB4IaGdro00-pZI1Hz84w,Prides Osteria,0
8iuZoPo2CCOfkdpzPqlbJA,Prides Osteria,1
wvnwou32Tww-xf27yvFn2Q,Prides Osteria,0
Wm5UpzeAJez0tE64OL3ELA,Prides Osteria,0
sMRucNvjaoSrvo6Jo5yjhA,Prides Osteria,0
3xDZ4iEwtiDISGtzV7uCEg,Prides Osteria,0
cp_mCXj5NIVyQCr50qDKVw,Prides Osteria,1
gN-xMARRCy4Q5cRwa0EkKg,Prides Osteria,1
ei8D4-v1d_hecHHwNOzcFw,Prides Osteria,1
1wWR8xICF5Gl7FW3ysmYew,Prides Osteria,1
csAuIokHiykFWN-d8IBeeg,Prides Osteria,0
Z13KzZdBxt4hBLIQkoah4w,Prides Osteria,1
k3FF12JF7_453Tjp3crNxg,Prides Osteria,1
_R_nNi6Gc7oNaNK44_M68A,Target,1
DTerWbIMkBafUJAKI1gaPw,Target,1
OHMZcYZ-SLi6W3r_9i-Wpw,Target,1
pXGk3GizqmX1OGd3d8YA6A,Target,1
MX8HZOxRRnQC0xrQ4fqv7A,Target,1
belkExx9ktP516XiqPxCDg,Target,1
qsWCoNJiNNeusP0KI7oN8w,Target,1
VPXlPM5abV5tYF57qe0MPw,Target,1
k71eOhdS8h_-G7ItX8serQ,Target,1
gaE1tf-vokGPpcu9_oniHQ,Target,1
3HyU8XTtBD7NfYDYKu7fQw,Target,1
dkVYZDQcjBLxU5bL-2yshA,Target,1
3san8VObp6FYMaL_I8KJpQ,Target,1
JdKuRm1p48t3_0W319zltg,Target,1
4GSy-M2KDu4nTygq_dYq2Q,Target,1
LcsA_A2XgQikhcbhAKpeiQ,Target,1
bqPu5ZVf7ykxdOWWG2zGSg,Target,1
OznrIguWJMFfpQNlaNwYjg,Target,1
34ajWp32NWdfw20xzZOiFw,Target,1
yu7B2b_8pI5jV46uU08NMA,Target,1
fgoDs7Q_KVDWBW69SajZpg,Target,1
_95Tzx_4lxP6K1IItrfQyw,Target,1
LizhIXojp7JfFfyz0nn97A,Target,1
iqCeouOPrpqVcy_mirS_Iw,Target,1
Vbl6Q9-TLHuXS4KWtK1ekQ,Target,1
QxkY9qWDNQbsxSpZbvyPVg,Target,1
wITfjb66fgZT1W-OdS07jQ,Willamette Valley Moving,1
o8NfnGAZAFlCI0O0FnzFyQ,Willamette Valley Moving,1
g9dk6amn-Exf_-OtwfZfUA,Willamette Valley Moving,1
Y1I7BM-fcfwHtWjM_rDJkg,Willamette Valley Moving,1
ze6z7uitzouArH5rs2h15w,Willamette Valley Moving,1
5FJW7TT6CQdaC50zdmqV-Q,Willamette Valley Moving,1
LHpwVm_2qlVU67Z1mK4qkg,Willamette Valley Moving,1
_ygu_iUslHqMnVeDBr07Kg,Willamette Valley Moving,1
nzslgUan4MuI1mzf6RrSGg,Willamette Valley Moving,1
TifnvWLfCwx5INFe9Z3D2w,Willamette Valley Moving,1
SFQ1jcnGguO0LYWnbbftAA,Renaissance Orlando at SeaWorld,1
lTGkLvPzDugmyeSdSUP0_g,Renaissance Orlando at SeaWorld,1
JZJB9ek6rMwLwbT2sd7aXw,Renaissance Orlando at SeaWorld,1
IprRYYDc3u6HApk3RUpJUQ,Renaissance Orlando at SeaWorld,1
of-nXkGV3ORBEsX_D6SeHQ,Renaissance Orlando at SeaWorld,1
3QRhlNCnPs3OEvTa-PozIg,Renaissance Orlando at SeaWorld,1
cXVBV7wemJtGPi4NXQT68A,Renaissance Orlando at SeaWorld,1
G-sY-KYsoaBIMI229Miypw,Renaissance Orlando at SeaWorld,1
u9zqG1GfMmWaN0KyGEQQlg,Renaissance Orlando at SeaWorld,1
A1vwjGCVjq_s7Fbp0KC1wQ,Renaissance Orlando at SeaWorld,1
MRzOdeND3a3BIlEMP0nHgw,Renaissance Orlando at SeaWorld,1
lVFTHojtpTMYic5XsFTfQw,Renaissance Orlando at SeaWorld,1
rgOgoLkwhWTI9RTpAnyC0Q,Renaissance Orlando at SeaWorld,1
sNNIg03ZHmtlbqBpoGQeCg,Renaissance Orlando at SeaWorld,1
D7Y6ToBNhyfRqX4Cmbax-Q,Renaissance Orlando at SeaWorld,1
0gVBh57sA9nqvytKFc0eKA,Renaissance Orlando at SeaWorld,1
0ccSV0K_ps0299rWEvEBGg,Renaissance Orlando at SeaWorld,1
gNEdVUwKHKRCj4zhZLPIjQ,Renaissance Orlando at SeaWorld,1
z-_AyfeyAsolepRf3C-Qyg,Renaissance Orlando at SeaWorld,1
T6nbNdjsk_zObSSQSECRXQ,Renaissance Orlando at SeaWorld,1
bvrPkwzgnW227QsfeLExVw,Renaissance Orlando at SeaWorld,1
gpr8S1TaCuq6wRzj976FiA,Renaissance Orlando at SeaWorld,1
XkV86IZs8YFtG8q8AuJtSQ,Renaissance Orlando at SeaWorld,1
Qp1qUiWhh-PJk1GnBgzJAQ,Renaissance Orlando at SeaWorld,1
Cn2mmB9wAPiB0COnYpWpIg,Renaissance Orlando at SeaWorld,1
Cl-xFb2VtckjFDGpScjl9g,Renaissance Orlando at SeaWorld,1
Ka6fj9dc4pfRDxGDQeoSbw,Renaissance Orlando at SeaWorld,1
AuIk6bVS_ZY3nHgN9vTXUw,Renaissance Orlando at SeaWorld,1
MAzAnoIlh2f9q45nXmQY-A,Renaissance Orlando at SeaWorld,0
dA7H3olJS3Y0j6FjOlqpcg,Renaissance Orlando at SeaWorld,1
dDpITdEyTD9e8x6X5e6GYQ,Renaissance Orlando at SeaWorld,1
MF0h9nsdTdT-9wAi3Y-HzA,Renaissance Orlando at SeaWorld,1
A3nQiK_bCFHH8DBTUDoiUw,Renaissance Orlando at SeaWorld,1
kTSn8hb_Zo36NRUmf7ns6A,Renaissance Orlando at SeaWorld,0
